Name,Avalanche,Immediate release,Visibility,Comment,Start,Avalanche_Datetime,Stop,Classification,Cluster_ID,popt_m,pcov_m,popt_b,pcov_b,r2,glide distance,fit,fit_rse
2,1,0,0,,12.12.08 13:15,17.12.08 07:45,17.12.08 13:45,0,99,,,,,,,,
3,1,0,1,Feistel,12.12.08 07:00,12.12.08 05:00,01.01.01 00:00,0,99,,,,,,,,
5,1,0,1,Feistel,13.12.08 09:30,17.12.08 05:00,01.01.01 00:00,0,99,,,,,,,,
6,1,0,1,Feistel,14.12.08 07:00,15.12.08 05:00,01.01.01 00:00,0,99,,,,,,,,
13,1,0,1,Feistel,22.12.08 10:45,24.12.08 05:00,01.01.01 00:00,0,99,,,,,,,,
32,1,1,0,,18.03.09 14:30,18.03.09 14:45,01.01.01 00:00,1,99,,,,,,,,
40,1,1,0,,02.04.09 15:30,02.04.09 15:45,01.01.01 00:00,1,99,,,,,,,,
42,1,1,0,,02.04.09 15:15,02.04.09 15:30,01.01.01 00:00,1,99,,,,,,,,
52,1,1,0,,06.04.09 16:15,06.04.09 16:30,01.01.01 00:00,1,99,,,,,,,,
53,1,1,0,actual start: 01.04.09 19:30:12 but camera angle changes in between,06.04.09 16:30,06.04.09 16:45,01.01.01 00:00,1,99,,,,,,,,
54,1,0,0,,06.04.09 14:43,06.04.09 17:30,01.01.01 00:00,1,99,,,,,,,,
55,1,0,0,Feistel,07.04.09 14:00,08.04.09 11:45,01.01.01 00:00,1,99,,,,,,,,
56,1,1,0,,09.04.09 14:45,09.04.09 15:00,01.01.01 00:00,1,99,,,,,,,,
57,1,1,0,,09.12.09 08:00,09.12.09 08:00,01.01.01 00:00,0,99,,,,,,,,
61,0,0,0,badly vsible glide crack opening,22.01.10 10:30,27.01.10 16:45,01.01.01 00:00,0,99,,,,,,,,
62,0,0,0,"release: 12:45 but change in camera angle, evlaluation does not work",18.03.10 07:45,22.03.10 12:30,22.03.10 12:30,1,99,,,,,,,,
71,1,0,0,Feistel,20.03.10 12:15,20.03.10 17:30,01.01.01 00:00,1,99,,,,,,,,
72,1,0,0,Feistel,20.03.10 17:45,21.03.10 13:30,01.01.01 00:00,1,99,,,,,,,,
81,1,1,0,,21.03.10 12:30,21.03.10 12:30,01.01.01 00:00,1,99,,,,,,,,
83,1,1,0,,21.03.10 13:15,21.03.10 13:30,01.01.01 00:00,1,99,,,,,,,,
84,1,1,0,,21.03.10 13:45,21.03.10 14:00,01.01.01 00:00,1,99,,,,,,,,
86,1,1,0,,21.03.10 15:15,21.03.10 15:30,01.01.01 00:00,1,99,,,,,,,,
89,1,1,0,,21.03.10 17:00,21.03.10 17:15,01.01.01 00:00,1,99,,,,,,,,
91,1,0,0,Feistel,21.03.10 13:00,22.03.10 12:00,01.01.01 00:00,1,99,,,,,,,,
92,1,0,0,Feistel,21.03.10 14:45,22.03.10 12:45,01.01.01 00:00,1,99,,,,,,,,
107,0,0,0,"glide crack, change in camer angle",28.03.10 13:00,28.03.10 19:00,01.01.01 00:00,1,99,,,,,,,,
108,1,0,0,Feistel,29.03.10 12:00,29.03.10 14:00,01.01.01 00:00,1,99,,,,,,,,
109,1,1,0,,05.04.10 16:30,05.04.10 16:45,01.01.01 00:00,1,99,,,,,,,,
110,1,0,0,Feistel,05.04.10 13:15,05.04.10 16:45,01.01.01 00:00,1,99,,,,,,,,
113,1,0,1,Feistel,30.11.10 07:00,08.12.10 05:00,01.01.01 00:00,1,99,,,,,,,,
115,1,0,1,Feistel,05.12.10 07:00,07.12.10 05:00,01.01.01 00:00,0,99,,,,,,,,
142,1,1,0,,08.12.10 14:00,08.12.10 14:15,01.01.01 00:00,1,99,,,,,,,,
158,1,1,0,very badly viewable because of steep angle,08.12.11 14:30,08.12.11 14:45,01.01.01 00:00,0,99,,,,,,,,
170,1,1,0,,10.12.11 13:30,10.12.11 13:45,01.01.01 00:00,0,99,,,,,,,,
176,1,1,0,A LOT OF GLIDE SNOW CRACKS AND AVALANCHES!!!!,24.12.11 15:00,28.12.11 16:30,01.01.01 00:00,0,99,,,,,,,,
184,1,1,0,ca 4 Abgänge (1/4) nicht sichtbar wegen verdrehter Kameraeinstellung,11.01.12 08:15,11.01.12 08:15,01.01.01 00:00,0,99,,,,,,,,
185,1,1,0,ca 4 Abgänge (2/4) nicht sichtbar wegen verdrehter Kameraeinstellung,11.01.12 08:15,11.01.12 08:15,01.01.01 00:00,0,99,,,,,,,,
186,1,1,0,ca 4 Abgänge (3/4) nicht sichtbar wegen verdrehter Kameraeinstellung,11.01.12 08:15,11.01.12 08:15,01.01.01 00:00,0,99,,,,,,,,
